"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","COUNTERPART_COUNTRY","FREQUENCY","SCALE","2020","2021","2022","2023","2024"
"IMF.STA:IMTS(1.0.0)","FRA.XG_FOB_USD.GBR.A","OBS_VALUE","France","Exports of goods, Free on board (FOB), US dollar","United Kingdom","Annual","Millions","31261.362463","33610.715359","35266.774153","38812.320046","39474.589903"
"IMF.STA:IMTS(1.0.0)","FRA.XG_FOB_USD.ITA.A","OBS_VALUE","France","Exports of goods, Free on board (FOB), US dollar","Italy","Annual","Millions","37276.863008","46699.228401","57390.290791","57342.168251","51860.544829"
"IMF.STA:IMTS(1.0.0)","FRA.MG_CIF_USD.GBR.A","OBS_VALUE","France","Imports of goods, Cost insurance freight (CIF), US dollar","United Kingdom","Annual","Millions","22376.452687","23825.29052","28446.262399","25886.081245","27210.29822"
"IMF.STA:IMTS(1.0.0)","DEU.TBG_USD.CAN.A","OBS_VALUE","Germany","Trade balance goods, US dollar","Canada","Annual","Millions","5499.337013","6620.144934","7062.178536","8588.616162","8405.728841"
"IMF.STA:IMTS(1.0.0)","DEU.TBG_USD.ITA.A","OBS_VALUE","Germany","Trade balance goods, US dollar","Italy","Annual","Millions","6275.607356","10324.491711","14537.402092","13542.323726","12979.27914"
"IMF.STA:IMTS(1.0.0)","DEU.TBG_USD.GBR.A","OBS_VALUE","Germany","Trade balance goods, US dollar","United Kingdom","Annual","Millions","33168.871596","44788.161876","41438.758018","51729.458116","54876.478233"
"IMF.STA:IMTS(1.0.0)","DEU.MG_CIF_USD.CAN.A","OBS_VALUE","Germany","Imports of goods, Cost insurance freight (CIF), US dollar","Canada","Annual","Millions","5167.87322","5275.832976","6303.178626","5162.442319","5550.948029"
"IMF.STA:IMTS(1.0.0)","DEU.XG_FOB_USD.JPN.A","OBS_VALUE","Germany","Exports of goods, Free on board (FOB), US dollar","Japan","Annual","Millions","20156.76951","21897.496959","21585.945358","21865.798554","23306.098167"
"IMF.STA:IMTS(1.0.0)","DEU.XG_FOB_USD.GBR.A","OBS_VALUE","Germany","Exports of goods, Free on board (FOB), US dollar","United Kingdom","Annual","Millions","76776.648563","78514.082926","77188.914465","84647.727348","86768.529093"
"IMF.STA:IMTS(1.0.0)","DEU.MG_CIF_USD.ITA.A","OBS_VALUE","Germany","Imports of goods, Cost insurance freight (CIF), US dollar","Italy","Annual","Millions","63008.125858","78974.121281","79242.036099","78727.735941","74404.029279"
"IMF.STA:IMTS(1.0.0)","DEU.XG_FOB_USD.ITA.A","OBS_VALUE","Germany","Exports of goods, Free on board (FOB), US dollar","Italy","Annual","Millions","69283.733214","89298.612992","93779.438191","92270.059667","87383.308419"
"IMF.STA:IMTS(1.0.0)","DEU.MG_CIF_USD.FRA.A","OBS_VALUE","Germany","Imports of goods, Cost insurance freight (CIF), US dollar","France","Annual","Millions","67834.447149","77890.006879","78517.767296","82155.872598","78879.174516"
"IMF.STA:IMTS(1.0.0)","DEU.TBG_USD.JPN.A","OBS_VALUE","Germany","Trade balance goods, US dollar","Japan","Annual","Millions","2497.395007","1375.344187","2347.578968","3362.315462","7403.779786"
"IMF.STA:IMTS(1.0.0)","DEU.MG_CIF_USD.USA.A","OBS_VALUE","Germany","Imports of goods, Cost insurance freight (CIF), US dollar","United States","Annual","Millions","57857.751897","63657.235065","73626.70076","77896.203862","74684.921753"
"IMF.STA:IMTS(1.0.0)","DEU.XG_FOB_USD.USA.A","OBS_VALUE","Germany","Exports of goods, Free on board (FOB), US dollar","United States","Annual","Millions","118687.57756","144897.911342","163669.278506","170536.90149","174483.755566"
"IMF.STA:IMTS(1.0.0)","DEU.TBG_USD.USA.A","OBS_VALUE","Germany","Trade balance goods, US dollar","United States","Annual","Millions","60829.825663","81240.676277","90042.577746","92640.697628","99798.833813"
"IMF.STA:IMTS(1.0.0)","DEU.XG_FOB_USD.FRA.A","OBS_VALUE","Germany","Exports of goods, Free on board (FOB), US dollar","France","Annual","Millions","103870.441753","121547.992934","124389.473231","129467.26262","125623.138693"
"IMF.STA:IMTS(1.0.0)","DEU.MG_CIF_USD.JPN.A","OBS_VALUE","Germany","Imports of goods, Cost insurance freight (CIF), US dollar","Japan","Annual","Millions","17659.374503","20522.152772","19238.36639","18503.483092","15902.318381"
"IMF.STA:IMTS(1.0.0)","DEU.XG_FOB_USD.CAN.A","OBS_VALUE","Germany","Exports of goods, Free on board (FOB), US dollar","Canada","Annual","Millions","10667.210233","11895.97791","13365.357162","13751.058481","13956.67687"
"IMF.STA:IMTS(1.0.0)","DEU.TBG_USD.FRA.A","OBS_VALUE","Germany","Trade balance goods, US dollar","France","Annual","Millions","36035.994604","43657.986055","45871.705935","47311.390022","46743.964177"
"IMF.STA:IMTS(1.0.0)","DEU.MG_CIF_USD.GBR.A","OBS_VALUE","Germany","Imports of goods, Cost insurance freight (CIF), US dollar","United Kingdom","Annual","Millions","43607.776967","33725.92105","35750.156447","32918.269232","31892.05086"
