"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","COUNTERPART_COUNTRY","FREQUENCY","SCALE","2020","2021","2022","2023","2024"
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.CAN.A","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Canada","Annual","Millions","7224.284823","8373.720815","8631.112609","10901.402496","11166.059149"
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.GBR.A","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","United Kingdom","Annual","Millions","10694.116452","10358.805478","11037.958442","12003.269501","11231.411355"
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.CAN.A","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","Canada","Annual","Millions","9856.922749","13550.388745","16551.244618","14531.06715","13005.15863"
"IMF.STA:IMTS(1.0.0)","JPN.TBG_USD.GBR.A","OBS_VALUE","Japan","Trade balance goods, US dollar","United Kingdom","Annual","Millions","4676.187062","3470.622676","4190.54102","4906.314424","3291.466636"
"IMF.STA:IMTS(1.0.0)","FRA.XG_FOB_USD.JPN.A","OBS_VALUE","France","Exports of goods, Free on board (FOB), US dollar","Japan","Annual","Millions","6528.810879","7760.208171","6712.943847","7228.159273","9891.553914"
"IMF.STA:IMTS(1.0.0)","GBR.MG_CIF_USD.USA.A","OBS_VALUE","United Kingdom","Imports of goods, Cost insurance freight (CIF), US dollar","United States","Annual","Millions","48217.901142","53967.620238","76524.164539","71740.820697","72686.148118"
"IMF.STA:IMTS(1.0.0)","JPN.TBG_USD.DEU.A","OBS_VALUE","Japan","Trade balance goods, US dollar","Germany","Annual","Millions","-3807.092649","-2894.131755","-3194.155992","-3176.388391","-3911.685436"
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.USA.A","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","United States","Annual","Millions","71642.108832","82663.924668","90640.715684","83737.210251","84910.041552"
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.USA.A","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","United States","Annual","Millions","118292.533088","135774.598007","139432.969598","144759.932918","141494.296579"
"IMF.STA:IMTS(1.0.0)","JPN.TBG_USD.USA.A","OBS_VALUE","Japan","Trade balance goods, US dollar","United States","Annual","Millions","46650.424256","53110.673339","48792.253914","61022.722667","56584.255027"
"IMF.STA:IMTS(1.0.0)","CAN.XG_FOB_USD.FRA.A","OBS_VALUE","Canada","Exports of goods, Free on board (FOB), US dollar","France","Annual","Millions","2768.791016","3300.362071","3021.663768","3158.540545","3213.025734"
"IMF.STA:IMTS(1.0.0)","CAN.MG_FOB_USD.DEU.A","OBS_VALUE","Canada","Imports of goods, Free on board (FOB), US dollar","Germany","Annual","Millions","12836.398774","15071.925386","17223.8149","18431.573117","17183.873702"
"IMF.STA:IMTS(1.0.0)","CAN.XG_FOB_USD.DEU.A","OBS_VALUE","Canada","Exports of goods, Free on board (FOB), US dollar","Germany","Annual","Millions","4741.340737","5452.106898","5767.186687","5201.380497","4933.087296"
"IMF.STA:IMTS(1.0.0)","USA.MG_CIF_USD.FRA.A","OBS_VALUE","United States","Imports of goods, Cost insurance freight (CIF), US dollar","France","Annual","Millions","43009.080715","50410.138259","57575.894253","57765.058952","60004.870729"
"IMF.STA:IMTS(1.0.0)","USA.MG_CIF_USD.ITA.A","OBS_VALUE","United States","Imports of goods, Cost insurance freight (CIF), US dollar","Italy","Annual","Millions","49448.298403","60997.706657","69074.751206","72942.324478","76366.488191"
